content,summarization
"trong thời gian qua, một số doanh nghiệp đã kê khai, phân loại mặt hàng phân bón npk có bổ sung trung, vi lượng thuộc mã số 3105.90.00 theo thông báo kết quả phân tích phân loại của trung tâm ptpl hàng hóa xnk miền nam và được cơ quan hải quan chấp nhận và tính thuế suất thuế nhập khẩu thuộc mã này. tuy nhiên, căn cứ danh mục hàng hóa xuất nhập khẩu việt nam biểu thuế xuất khẩu, biểu thuế nhập khẩu ưu đãi và thông tư số 49/2010/tt-btc ngày 12/04/2010 của bộ tài chính hướng dẫn việc phân loại, áp dụng mức thuế suất đối với hàng hóa xuất nhập khẩu thì mặt hàng phân bón có bổ sung trung, vi lượng, ở dạng viên hoặc các dạng tương tự hoặc đóng gói trong bao bì với trọng lượng cả bì không quá 10 kg thuộc nhóm 3105, phân nhóm 3105.10. đối với mặt hàng phân bón npk có bổ sung trung, vi lượng loại khác thuộc nhóm 3105, phân nhóm 3105.20. do mặt hàng phân bón npk là loại có tính chất hàng hóa phức tạp dẫn đến cách hiểu khác nhau, bộ tài chính yêu cầu cục hải quan các tỉnh, thành phố kiểm tra, xác định cụ thể các tờ khai nhập khẩu mặt hàng này từ trước ngày 16/4/2014 ngày tổng cục hải quan có công văn 1859/tchq-txnk hướng dẫn phân loại. nếu các doanh nghiệp đã kê khai và tính thuế theo mức thuế suất thuế nhập khẩu thuộc mã số 3105.90.00 thì không xử lý lại và rút kinh nghiệm trong việc nghiên cứu và đề xuất phân loại hàng hóa.","Một số doanh nghiệp đã khai báo phân bón NPK có bổ sung trung, vi lượng theo mã 3105.90.00, tuy nhiên theo quy định của Bộ Tài chính, loại phân bón này phải thuộc mã 3105.10 hoặc 3105.20 tùy thuộc vào dạng và trọng lượng. Do sự phức tạp của loại hàng hóa này, Bộ Tài chính yêu cầu kiểm tra lại các tờ khai nhập khẩu trước ngày 16/4/2014, và những doanh nghiệp đã khai báo theo mã 3105.90.00 sẽ không bị xử lý lại. 
"
"việc xử phạt trong lĩnh vực kho bạc nhà nước được hướng dẫn cụ thể, chi tiết cho từng loại vi phạm. ảnh minh họa trong lĩnh vực quản lý, sử dụng tsnn, việc xử phạt được quy định rõ đối với từng hành vi vi phạm trong quản lý, sử dụng tại cơ quan, tổ chức, đơn vị tài sản của các dự án sử dụng vốn nhà nước tài sản được xác lập quyền sở hữu của nhà nước... về cơ bản, các chế tài kế thừa các quy định tại thông tư số 14/2013/tt-btc ngày 05/02/2013 của bộ tài chính hướng dẫn thực hiện nghị định số 66/2012/nđ-cp ngày 6/9/2012 của chính phủ. dự thảo bổ sung quy định về việc xác định số tiền phải nộp lại tương ứng với giá trị tài sản bị thất thoát, hư hỏng. cụ thể, đối với tài sản bị mất hoặc hư hỏng không thể khắc phục được, số tiền phải nộp lại được xác định tương ứng với giá mua mới tài sản cùng loại hoặc có tiêu chuẩn, công năng sử dụng tương đương trên thị trường. đối với tài sản bị hư hỏng có thể khắc phục được, số tiền phải nộp lại là chi phí để sửa chữa tài sản đó. việc xử phạt vi phạm hành chính trong lĩnh vực kbnn, dự thảo thông tư hướng dẫn cụ thể việc xác định các hành vi vi phạm. dự thảo quy định cụ thể về việc báo cáo cấp có thẩm quyền ra quyết định xử phạt đối với các hành vi vi phạm trong lĩnh vực kbnn. riêng 2 lĩnh vực thực hành tiết kiệm chống lãng phí và dự trữ quốc gia, do dự thảo nghị định đã quy định cụ thể nên trong thông tư không cần hướng dẫn thêm.","Dự thảo thông tư về xử phạt trong lĩnh vực kho bạc nhà nước hướng dẫn chi tiết các loại vi phạm và mức xử phạt tương ứng, kế thừa và bổ sung từ các quy định hiện hành. Dự thảo cũng quy định rõ ràng cách xác định số tiền phải nộp lại đối với tài sản bị thất thoát, hư hỏng, dựa trên giá trị thị trường hoặc chi phí sửa chữa. Thông tư này nhằm nâng cao tính minh bạch, hiệu quả trong quản lý, sử dụng tài sản nhà nước.
"
"tại văn bản này bộ tài chính cho biết, ngày 2/5/2012, thủ tướng chính phủ đã ban hành quyết định 513/qđ-ttg gọi tắt là dự án 513, điểm c khoản 1 mục iv của quyết định này quy định nguồn kinh phí thực hiện dự án thuộc nguồn ngân sách sự nghiệp kinh tế trung ương và ngân sách địa phương đảm, trong đó kinh phí đảm bảo nhiệm vụ thực hiện dự án của các bộ, ngành trung ương do ngân sách trung ương đảm bảo kinh phí đảm bảo nhiệm vụ thực hiện dự án của các tỉnh, thành phố trực thuộc trung ương do ngân sách địa phương đảm bảo. đối với các địa phương có khó khăn về kinh phí, ngân sách trung ương hỗ trợ theo quy định của luật ngân sách nhà nước. thực hiện quyết định trên, bộ tài chính đã có 2 công văn hướng dẫn các bộ, ngành, địa phương lập dự toán, sử dụng và thanh quyết toán kinh phí dự án. về nguồn kinh phí thực hiện dự án 513, đề nghị các địa phương thực hiện theo hướng dẫn của bộ tài chính tại văn bản 13878/btc-hcsn ngày 17/10/2013. đối với các địa phương có khó khăn không cân đối được ngân sách, căn cứ quy định tại quyết định 513, đề nghị các địa phương khẩn trương xây dựng thiết kế kỹ thuật - dự toán kinh phí cho các hạng mục công việc của địa phương, lấy ý kiến thẩm định của bộ nội vụ và bộ tài nguyên và môi trường. bộ tài chính cho biết, bộ nội vụ là cơ quan chủ trì dự án 513 tổng hợp dự toán kinh phí thực hiện của các địa phương nhận bổ sung cân đối từ ngân sách trung ương, gửi bộ tài chính để tổng hợp trình cấp có thẩm quyền hỗ trợ theo khả năng cân đối của ngân sách trung ương. tuy nhiên đến nay, bộ tài chính chưa nhận được công văn của bộ nội vụ tổng hợp đề xuất hỗ trợ kinh phí cho các địa phương có khó khăn, không cân đối được ngân sách, nên chưa có căn cứ để xem xét hỗ trợ các địa phương thực hiện dự án 513. vì vậy, bộ tài chính có ý kiến hướng dẫn ubnd các tỉnh, thành phố trực thuộc trung ương triển khai thực hiện như trên.","Bộ Tài chính thông báo về nguồn kinh phí thực hiện Dự án 513 được phân bổ từ ngân sách trung ương và địa phương.  Tuy nhiên, hiện tại bộ chưa nhận được đề xuất hỗ trợ từ Bộ Nội vụ, khiến việc hỗ trợ các địa phương gặp khó khăn trong việc cân đối ngân sách cho dự án bị trì hoãn.  Bộ Tài chính yêu cầu các địa phương khẩn trương hoàn thành các thủ tục cần thiết để có thể nhận được hỗ trợ kinh phí từ ngân sách trung ương.
"
"hải dương là tỉnh thứ 3 trong cả nước công bố đạt chuẩn phổ cập giáo dục mầm non cho trẻ dưới 5 tuổi. đây là kinh phí nhằm hoàn thành đề án hỗ trợ phổ cập giáo dục mầm non cho trẻ em 5 tuổi tỉnh hải dương giai đoạn 2011-2015. số tiền trên sẽ được cấp cho 92 trường mầm non thuộc 12 huyện, thị xã, thành phố thuộc tỉnh hải dương để hỗ trợ kinh phí trả nợ xây dựng trường, tăng cường cơ sở vật chất... năm 2012, hải dương đã công bố quyết định đạt chuẩn phổ cập giáo dục mầm non cho trẻ em dưới 5 tuổi và là tỉnh thứ 3 trong cả nước công bố đạt chuẩn phổ cập giáo dục mầm non cho trẻ dưới 5 tuổi. hệ thống giáo dục của hải dương gồm 900 trường, với trên 300 nghìn học sinh các cấp, trong đó bậc học mầm non có 302 trường gồm 83 trường công lập, 193 trường bán công và 26 trường tư thục, với hơn 3.700 nhóm, lớp. nhiều năm qua, tỉnh hải dương đã tập trung lãnh đạo, chỉ đạo, đầu tư cho công tác giáo dục, đặc biệt là giáo dục mầm non, do vậy qui mô trường, lớp mầm non phát triển phù hợp với qui hoạch và đáp ứng nhu cầu gửi con của các bậc phụ huynh với chất lượng chăm sóc, giáo dục trẻ mầm non ngày càng được nâng cao. hiện tỷ lệ huy động trẻ nhà trẻ của tỉnh đã đạt 45,9, mẫu giáo đạt 98,3, riêng trẻ mẫu giáo 5 tuổi đạt 100 100 trẻ đến trường được học 2 buổi/ ngày theo chương trình giáo dục mầm non mới 100 trẻ được ăn tại trường dưới nhiều hình thức, tỷ lệ trẻ được bán trú năm sau cao hơn năm trước, luôn đạt trên 80 100 giáo viên đứng lớp có trình độ chuyên môn đạt chuẩn, tỷ lệ giáo viên có trình độ trên chuẩn đạt 52,2/.","Hải Dương là tỉnh thứ 3 đạt chuẩn phổ cập giáo dục mầm non cho trẻ dưới 5 tuổi, chứng tỏ sự đầu tư mạnh mẽ của tỉnh vào giáo dục mầm non.  Với khoản kinh phí hỗ trợ, tỉnh Hải Dương sẽ nâng cao chất lượng cơ sở vật chất và giáo dục cho trẻ mầm non, đồng thời đáp ứng nhu cầu gửi con của phụ huynh. Hệ thống giáo dục mầm non của tỉnh Hải Dương ngày càng phát triển với tỷ lệ trẻ đến trường cao, cơ sở vật chất được cải thiện và chất lượng giáo dục được nâng cao. 
"
"trong đó, thu thuế xuất nhập khẩu đạt 24.280 tỷ đồng, tăng 15,2 thu nội địa đạt gần 5.978 tỷ đồng, tăng 19,8. đặc biệt, số thu do ngành thuế quản lý, thu từ khu vực doanh nghiệp tăng cao như thu từ khu vực dnnn trung ương đạt trên 1.246,4 tỷ đồng, bằng 87,2 dự toán, tăng 49,9 thu từ dnnn địa phương đạt trên 590,5 tỷ đồng, bằng 72 dự toán, tăng 26 thu từ dn có vốn đầu tư nước ngoài đạt gần 1.183 tỷ đồng thu từ khu vực ngoài quốc doanh đạt trên 1.242 tỷ đồng thuế thu nhập cá nhân đạt trên 588 tỷ đồng... sở tài chính hải phòng cho biết, ns của thành phố đảm bảo đáp ứng đầy đủ, kịp thời các khoản chi theo dự toán được duyệt các khoản chi thường xuyên, các nhiệm vụ thực hiện chủ đề năm du lịch và đô thị/.","Thuế xuất nhập khẩu và thu nội địa của Hải Phòng đều tăng trưởng mạnh trong năm qua, đặc biệt là thu từ các doanh nghiệp, cả doanh nghiệp nhà nước và tư nhân. Nhờ đó, ngân sách thành phố đảm bảo đáp ứng đủ các khoản chi thường xuyên và các nhiệm vụ phát triển du lịch và đô thị.
"
"trong quý i, hải phòng thu nội địa đạt 2.263,4 tỷ đồng, bằng 25 dự toán năm, tăng trưởng 11,3 so với cùng kỳ năm trước. trong đó, có 5 chỉ tiêu đạt từ 25 dự toán trở lên là khu vực dnnn địa phương đạt 25,6 dn có vốn đầu tư nước ngoài đạt 27,2 khu vực dn ngoài quốc doanh 26 thuế thu nhập cá nhân tncn 34,9 và thu cố định tại xã đạt 45,89 dự toán năm. nhiều đơn vị, chi cục thuế thu đạt trên 25 dự toán năm như phòng kiểm tra thuế số 1, phòng thuế tncn, chi cục đồ sơn, chi cục hải an, chi cục kiến an, chi cục vĩnh bảo kết quả cho thấy số thu nsnn của thành phố, sau một thời gian gặp nhiều khó khăn, nay đã đạt tiến độ đề ra. khối quận huyện tuy còn gặp nhiều khó khăn, nhưng đã hoàn thành 104,2 dự toán quý i, bằng 23,7 dự toán năm, tăng trưởng 25,8. năm 2014, kinh tế thành phố tiếp tục từng bước phục hồi nhiều công trình, dự án hoàn thành và chính thức đi vào hoạt động. đạt được tiến độ thu quý i/2014 và tăng trưởng so cùng kỳ năm trước, do một phần đóng góp từ chỉ số phát triển công nghiệp quý i của hải phòng tăng cao. những dn lớn, sản xuất kinh doanh đạt hiệu quả, có số tiền nộp thuế cao, như nhà máy thức ăn gia súc pôroconco nộp tăng 45 tỷ đồng so cùng kỳ công ty cp khu công nghiệp sài gòn- hải phòng nộp tăng 8,8 tỷ đồng công ty liên doanh cáp điện và hệ thống ls-vina nộp tăng 20,2 tỷ đồng khoản thu thuế nhà thầu của dự án lge đạt 23 tỷ đồng thu dn ngoài quốc doanh đạt 505,6 tỷ đồng, tăng trưởng 16,7 ... tuy vậy, việc kinh doanh của các dn trên địa bàn còn rất nhiều khó khăn. 2 tháng đầu năm, hải phòng cấp mã số thuế mst cho 311 dn, tăng 8. tính đến hết tháng 2, hải phòng có 32.616 dn được cấp mst. tuy nhiên, chỉ có hơn 16.800 dn chiếm 51 trong tổng số dn được cấp mst là có hoạt động và nộp thuế. số còn lại đóng mst hoặc ngừng nghỉ kinh doanh, chuyển sang địa bàn khác. cục thuế hải phòng cho biết, đơn vị đã tập trung triển khai, chỉ đạo các phòng, chức năng, các chi cục thuế 14 quận, huyện nhiệm vụ thu nsnn, xác định rõ thuận lợi, khó khăn đề ra những biện pháp cụ thể cho từng chỉ tiêu, sắc thuế, nguồn thu. đơn vị quán triệt rõ tinh thần tích cực, chủ động tham mưu cho thành ủy, hđnd, ubnd thành phố tranh thủ sự chỉ đạo của bộ tài chính, tổng cục thuế thực hiện nhiệm vụ thu ns trong quý i tiếp tục đảm bảo tiến độ thu nsnn quý ii và những tháng tiếp theo kiên trì, phấn đấu đạt và vượt kế hoạch năm. vĩnh liên - ngô huệ","Trong quý I, Hải Phòng thu nội địa đạt 2.263,4 tỷ đồng, vượt 25% kế hoạch năm và tăng trưởng 11,3% so với cùng kỳ năm trước.  Sự tăng trưởng này một phần đến từ sự phục hồi của nền kinh tế thành phố, với nhiều dự án đi vào hoạt động, cùng với hoạt động sản xuất kinh doanh hiệu quả của các doanh nghiệp lớn. Tuy nhiên, tình hình kinh doanh của nhiều doanh nghiệp vẫn còn nhiều khó khăn, dẫn đến việc chỉ có hơn 50% doanh nghiệp được cấp mã số thuế đang hoạt động và nộp thuế.
"
"hoạt động nghiệp vụ tại cục hải quan thành phố hải phòng chỉ tính riêng trong tháng 8 năm 2014, thu ngân sách trên địa bàn ước đạt 3.920 tỷ đồng, trong đó thu nội địa đạt 620 tỷ đồng thu hải quan ước 3.250 tỷ đồng. báo cáo của ubnd thành phố hải phòng cho biết, tình hình kinh tế - xã hội của thành phố trong tháng 8 và 8 tháng năm 2014 tiếp tục duy trì ổn định và phát triển, một số ngành, lĩnh vực có mức tăng trưởng khá như sản lượng hàng qua cảng, xuất khẩu, vốn đầu tư, thu nội địa về chi ngân sách địa phương trên địa bàn, ubnd tp.hải phòng cho biết, trong tháng 8 ước đạt 887 tỷ đồng, tính lũy kế 8 tháng ước đạt 6.213 tỷ đồng, tăng 18,2 so với cùng kỳ. trong đó, chi đầu tư xây dựng cơ bản đạt 1.213 tỷ đồng, tăng 30,2 chi thường xuyên đạt 4.943 tỷ đồng, tăng 15,3 so với cùng kỳ. trong tháng 9 và những tháng cuối năm, thành phố hải phòng tập trung công tác thu ngân sách nhà nước đảm bảo thu đúng, thu đủ, không bỏ sót nguồn thu, chống nợ đọng, rà soát, xử lý các khoản nợ đọng thuế quản lý chặt chẽ chi tiêu công, nâng cao hiệu quả chi ngân sách. đồng thời triển khai thực hiện chỉ thị 16/ct-ubnd của ủy ban nhân dân thành phố về việc tăng cường, đẩy mạnh công tác quyết toán vốn đầu tư các dự án hoàn thành sử dụng vốn nhà nước","Trong tháng 8 năm 2014, Cục Hải quan thành phố Hải Phòng thu về gần 3.920 tỷ đồng, trong đó thu nội địa đạt 620 tỷ đồng và thu hải quan ước đạt 3.250 tỷ đồng.  UBND thành phố Hải Phòng báo cáo tình hình kinh tế - xã hội của thành phố trong tháng 8 và 8 tháng đầu năm 2014 duy trì ổn định và phát triển, với mức tăng trưởng khá ở một số ngành, lĩnh vực như xuất khẩu, vốn đầu tư, thu nội địa.  Thành phố Hải Phòng tập trung vào công tác thu ngân sách nhà nước đảm bảo thu đủ, chống nợ đọng, và tăng cường quản lý chi tiêu công để nâng cao hiệu quả sử dụng ngân sách. 
"
"bộ tài chính đã xác định số kinh phí mua thẻ bhyt cho hộ cận nghèo năm 2012 của thành phố số tiền trên 3,8 tỷ đồng. theo quy định về cơ chế hỗ trợ từ nstw cho nsđp thực hiện các chính sách an sinh xã hội giai đoạn 2012-2015, hải phòng được hỗ trợ 50 kinh phí, tương đương số tiền hơn 1,9 tỷ đồng. số kinh phí bộ tài chính đã tạm ứng cho thành phố là 1,8 tỷ đồng. đối với năm 2013, bộ tài chính đã tạm ứng hơn 2,1 tỷ đồng cho thành phố mua thẻ bhyt cho hộ cận nghèo. về kinh phí hỗ trợ bhyt cho học sinh- sinh viên, bộ tài chính xác định số kinh phí mua thẻ bhyt cho đối tượng này năm 2012 số tiền gần 29,6 tỷ đồng. theo quy định, hải phòng được hỗ trợ 50 kinh phí, tương đương số tiền gần 14,5 tỷ đồng. số kinh phí bộ tài chính đã tạm ứng cho thành phố là trên 11,5 tỷ đồng. năm 2013, số tiền bộ tài chính đã tạm ứng cho đối tượng này là hơn 13,6 tỷ đồng . bộ tài chính đề nghị ubnd tp. hải phòng chỉ đạo sở tài chính phối hợp với kbnn chuyển số kinh phí hỗ trợ mua thẻ bhyt cho hộ cận nghèo năm 2012 là 1,8 tỷ đồng, cho học sinh- sinh viên năm 2012 số tiền trên 11,5 tỷ đồng thành thực thu nsđp theo quy định. đồng thời, đề nghị ubnd tp. hải phòng thực hiện rút tiếp dự toán kinh phí hỗ trợ mua thẻ bhyt cho học sinh- sinh viên năm 2012 số tiền trên 3,3 tỷ đồng, cho hộ cận nghèo năm 2012 115 triệu đồng, năm 2013 hơn 13,6 tỷ đồng tại kbnn theo quy định để thực hiện chính sách này. bộ tài chính cũng yêu cầu tp. hải phòng căn cứ vào kết quả thực hiện, có báo cáo quyết toán số kinh phí thực hiện chính sách trên trong năm 2013 gửi bộ tài chính để làm cơ sở hỗ trợ kinh phí cho thành phố, đồng thời thu hồi số kinh phí đã tạm ứng. đối với đề nghị hỗ trợ kinh phí mua thẻ bhyt cho người nghèo và trẻ em dưới 6 tuổi của thành phố, bộ tài chính sẽ tổng hợp chung để xử lý cho các địa phương trong đó có hải phòng. về kinh phí hỗ trợ mua thẻ bhyt cho các đối tượng bảo trợ xã hội, người cao tuổi, bộ tài chính tổng hợp vào nhu cầu kinh phí thực hiện chính sách bảo trợ xã hội theo nghị định 67 và nghị định 13/nđ-cp và luật người cao tuổi để hỗ trợ cho thành phố theo đúng quy định.","Bộ Tài chính đã tạm ứng cho Hải Phòng hơn 3,8 tỷ đồng để mua thẻ BHYT cho hộ cận nghèo và học sinh, sinh viên trong năm 2012 và 2013. Bộ Tài chính yêu cầu Hải Phòng chuyển số kinh phí hỗ trợ mua thẻ BHYT năm 2012 thành thu ngân sách địa phương và rút tiếp dự toán kinh phí hỗ trợ mua thẻ BHYT cho học sinh, sinh viên năm 2012 và hộ cận nghèo năm 2013. Bộ Tài chính cũng yêu cầu Hải Phòng báo cáo quyết toán số kinh phí thực hiện chính sách này trong năm 2013 để làm cơ sở hỗ trợ kinh phí cho thành phố và thu hồi số kinh phí đã tạm ứng. 
"
"ông lương trường thọ, cục trưởng cục hải quan hà tĩnh cho biết xác định việc triển khai thành công hệ thống vnaccs/vcis là ưu tiên số một trong năm 2014, cục hải quan tỉnh hà tĩnh đã đẩy mạnh công tác đào tạo cán bộ và hướng dẫn doanh nghiệp trong thực hiện vnaccs/vcis. cục đã tổ chức cho cbcc tham gia các lớp tập huấn do tổng cục hải quan tổ chức, tham gia học hỏi kinh nghiệm tại các cục hải quan tỉnh, thành phố đã triển khai áp dụng hệ thống vnaccs/vcis. đồng thời chủ trì, phối hợp với học viện tài chính, tổng cục hải quan mở lớp tập huấn về thủ tục hải quan điện tử cho doanh nghiệp, thu hút gần 90 doanh nghiệp và cán bộ công chức tại các đơn vị tham gia. tuy nhiên, đây mới chỉ là thành công bước đầu vì hiện vẫn còn những vướng mắc phát sinh cho cả doanh nghiệp và cơ quan hải quan, đặc biệt là với những doanh nghiệp chưa qua tập huấn, đào tạo hệ thống này hoặc còn nhiều lúng túng, chưa thao tác thành thạo và chưa nhớ được cụ thể các bảng mã theo quy định dẫn đến việc khai báo sai phải sửa đổi bổ sung. hệ thống cơ sở hạ tầng công nghệ thông tin, hạ tầng viễn thông tới các khu vực cửa khẩu, cảng biển còn hạn chế, hệ thống mạng còn trục trặc nên vẫn còn xảy ra sự cố hệ thống phải ngừng hoạt động, rớt mạng, đường truyền bị ngắt quãng... thời gian tới, cục sẽ tiếp tục hỗ trợ các chi cục và doanh nghiệp trong quá trình triển khai hệ thống vnaccs/vcis. kịp thời giải quyết các vướng mắc phát sinh đảm bảo vận hành hệ thống thông suốt và tạo thuận lợi tối đa cho các doanh nghiệp xuất nhập khẩu. duy trì và đảm bảo hạ tầng mạng, kết nối ra hệ thống giám sát, điều phối máy chủ, máy trạm, các trang thiết bị an ninh, an toàn và các trang thiết bị khác có liên quan phục vụ triển khai tốt hệ thống vnaccs/vcis. duy trì đường truyền, hệ thống mạng hoạt động liên tục 24/7 phát hiện, khắc phục kịp thời các sự cố phát sinh theo đúng hướng dẫn của tổng cục hải quan.","Để triển khai thành công hệ thống VNACCS/VCIS, Cục Hải quan Hà Tĩnh đã tập trung đào tạo cán bộ và hướng dẫn doanh nghiệp sử dụng hệ thống. Tuy nhiên, việc triển khai vẫn còn một số vướng mắc, đặc biệt với doanh nghiệp chưa được đào tạo hoặc chưa thành thạo sử dụng hệ thống. Trong thời gian tới, Cục sẽ tiếp tục hỗ trợ doanh nghiệp và khắc phục những vướng mắc để đảm bảo hệ thống vận hành thông suốt và tạo thuận lợi tối đa cho hoạt động xuất nhập khẩu. 
"
"theo đó, sau khi thực hiện việc trích lại số thu phí theo tỷ lệ phần trăm đã được quy định cho cơ quan thu phí, số tiền còn lại quy đổi thành 100 cơ quan thu phí phải nộp hàng tuần theo tỷ lệ 40 nộp vào tài khoản của quỹ bảo trì đường bộ tỉnh hậu giang mở tại kho bạc nhà nước và sử dụng theo quy định tại thông tư liên tịch số 230/2012/ttlt-btc-bgtvt. 60 nộp vào ngân sách tỉnh để cấp chi cho ubnd cấp xã duy tu, sửa chữa cơ sở hạ tầng và đầu tư đường giao thông nông thôn theo chương trình xây dựng nông thôn mới, theo đúng quy định pháp luật hiện hành. sở tài chính hậu giang, phối hợp với sở giao thông vận tải hướng dẫn các đơn vị, tổ chức, cá nhân thực hiện. hàng năm trên cơ sở đề nghị của ubnd cấp xã, kế hoạch thu phí sử dụng đường bộ đối với xe mô tô của ubnd huyện, thị xã, thành phố và nhu cầu đầu tư duy tu, sửa chữa cơ sở hạ tầng và đầu tư đường giao thông nông thôn theo chương trình xây dựng nông thôn mới. ubnd huyện, thị xã, thành phố lập dự toán kinh phí đầu tư duy tu, sửa chữa cơ sở hạ tầng và đầu tư đường giao thông nông thôn, gửi sở tài chính tổng hợp trình cấp thẩm quyền xem xét, quyết định.","Theo quy định, phí thu từ xe mô tô sẽ được chia thành hai phần: 40% được chuyển vào Quỹ bảo trì đường bộ tỉnh Hậu Giang và 60% được nộp vào ngân sách tỉnh để cấp cho UBND cấp xã nhằm duy tu, sửa chữa cơ sở hạ tầng và đầu tư đường giao thông nông thôn theo chương trình xây dựng nông thôn mới. Sở Tài chính Hậu Giang phối hợp với Sở Giao thông Vận tải hướng dẫn việc thực hiện quy định này, đồng thời lập dự toán kinh phí cho việc đầu tư, duy tu, sửa chữa cơ sở hạ tầng và đường giao thông nông thôn dựa trên nhu cầu của các địa phương. 
"
